-2.03114251,3.21749527,6.02800846,1.24782088,7.18804586,-8.97624598,-7.77243425,-7.28015324,0.21474156,-2.49779347
-1.82451487,3.36175279,5.98681652,1.33939766,7.21737733,-8.92731202,-7.92028811,-7.40746326,0.53295314,-2.73859077
-1.61734300,3.43777021,5.92470479,1.39503576,7.19002078,-8.86492007,-7.99981315,-7.50228136,0.88025565,-2.91610236
-1.48875589,3.56180224,5.94882559,1.52223799,7.22510916,-8.80409058,-8.09242331,-7.57492099,1.21331446,-3.12172223
-1.29192148,3.69143217,5.90175802,1.52003108,7.18130620,-8.73183988,-8.24565815,-7.68351762,1.53669991,-3.33679667
-1.10210583,3.78499637,5.83418071,1.60483206,7.23123045,-8.69401113,-8.33569169,-7.76437062,1.90840531,-3.48722328
-0.95343316,3.90210726,5.77112919,1.69314368,7.27964586,-8.58029239,-8.37851749,-7.88952113,2.30348860,-3.59566488
-0.79758700,4.05116715,5.69786423,1.82058254,7.32184429,-8.50697494,-8.38567704,-8.07130464,2.68064457,-3.78599144
-0.60105028,4.12489517,5.62181664,1.89440976,7.32956765,-8.44287365,-8.46210804,-8.27636723,3.10404380,-3.96823612
-0.41098619,4.25466510,5.56053577,1.98528042,7.29320359,-8.35608211,-8.45031079,-8.42586007,3.51022917,-4.07431837
-0.24365094,4.29527004,5.41862356,2.10380343,7.27672790,-8.31527233,-8.49726715,-8.64973329,3.98209317,-4.20730668
-0.04251456,4.34100759,5.32596182,2.20653498,7.24506221,-8.25481387,-8.50307975,-8.80182590,4.42549798,-4.35720861
0.12029005,4.35992352,5.20434665,2.32781423,7.25248763,-8.14131487,-8.42496841,-9.01137374,4.92483602,-4.49772712
0.34096001,4.40835210,5.09383992,2.40029054,7.26938512,-8.00481018,-8.36853474,-9.19831883,5.36416239,-4.60891326
0.48896310,4.46705418,4.94444529,2.51962839,7.23798870,-7.92763416,-8.32948815,-9.37854673,5.88203452,-4.76987292
0.70312967,4.46410833,4.80153579,2.60677399,7.21728558,-7.83839025,-8.24508794,-9.58441276,6.40153692,-4.77611474
0.90201243,4.48507932,4.61818736,2.74786343,7.13694463,-7.71266746,-8.12965549,-9.80961214,6.87805998,-4.82501040
0.98307420,4.52005557,4.44434927,2.84198008,7.08884993,-7.60685065,-8.00799442,-10.04890138,7.42578664,-4.84358234
1.21029868,4.52432693,4.30362228,2.91951319,7.04429552,-7.49076352,-7.89867374,-10.29966504,7.90945521,-4.82316972
1.39834251,4.49685188,4.12679328,3.03906250,6.95271337,-7.39955702,-7.70660059,-10.57282215,8.45933634,-4.82892331
1.58753433,4.48154723,3.86124846,3.13751422,6.91993694,-7.27173082,-7.44555929,-10.80452638,8.98310704,-4.81041533
1.77053554,4.49573546,3.63985740,3.17067393,6.89240589,-7.15474769,-7.21402615,-11.03518963,9.53006065,-4.73617579
1.91684263,4.48559387,3.40315684,3.24346411,6.84292174,-7.03567465,-6.90224075,-11.24435984,10.04163572,-4.64742403
2.07822160,4.50429643,3.21140220,3.29414788,6.86808445,-6.93758056,-6.63208675,-11.47591830,10.59125912,-4.52389566
2.22578406,4.46444221,3.00835157,3.42061848,6.82938020,-6.79688007,-6.30230028,-11.73660827,11.06042120,-4.41076325
2.35254526,4.41975864,2.77831454,3.42608220,6.75657523,-6.69766313,-5.94141804,-12.01966920,11.61022260,-4.19001924
2.50134747,4.42072450,2.52531368,3.46799094,6.72064504,-6.55606980,-5.56058032,-12.28553199,12.14085855,-3.92109443
2.62108145,4.40328510,2.32225262,3.52068978,6.71457158,-6.43817250,-5.13028889,-12.46896542,12.54664815,-3.55453719
2.77121926,4.31059233,2.06062075,3.54884679,6.68380882,-6.29551751,-4.69280155,-12.69741946,12.90194886,-3.24242800
2.94176466,4.25388022,1.86701000,3.56468255,6.62492524,-6.24218828,-4.21335609,-12.90034559,13.27885028,-2.87774957
3.06326430,4.28757569,1.66499152,3.65323466,6.58479915,-6.12670182,-3.68154828,-13.05068455,13.57461904,-2.44997494
3.11879302,4.27149379,1.48783469,3.68594279,6.54654235,-6.03894697,-3.12342732,-13.18451717,13.84910385,-2.03616632
3.28719784,4.21395834,1.33330790,3.71583754,6.56072347,-5.89224670,-2.55951696,-13.31779758,14.01657035,-1.57839465
3.43366945,4.17112788,1.22579728,3.76223217,6.51272044,-5.83167022,-2.00091598,-13.42375830,14.15906655,-1.07411967
3.49801966,4.14085271,1.11338891,3.81247169,6.49665346,-5.71367080,-1.42171205,-13.55274370,14.22996725,-0.52379662
3.61433273,4.10668258,1.04023411,3.84851248,6.47537801,-5.63551628,-0.82523762,-13.61471017,14.26519417,0.02644457
3.72426866,4.10424269,1.09343915,3.93785206,6.36905397,-5.58206524,-0.18886137,-13.58939512,14.23628528,0.51042897
3.87447229,4.01506106,1.12148672,3.96734229,6.29238492,-5.58258953,0.36898738,-13.63222047,14.14211965,1.06013254
3.91056137,3.96194246,1.18357443,3.93821473,6.25057469,-5.55305308,0.92837243,-13.67256389,14.02476280,1.62950606
4.01530714,3.92642793,1.28500966,3.97564092,6.20289940,-5.56999862,1.52525788,-13.66973291,13.81885448,2.18693069
4.10155474,3.84857544,1.42022508,4.06995390,6.16076760,-5.55972427,2.15704636,-13.72000221,13.55415576,2.73250956
4.20587491,3.82797081,1.49776417,4.15723044,6.12654556,-5.57106819,2.67207515,-13.65164923,13.25433136,3.23600016
4.27585603,3.80206279,1.63913676,4.19480800,6.09371106,-5.57135304,3.14604766,-13.66892695,12.91006615,3.69822503
4.34395272,3.78305141,1.75954454,4.24122094,6.01265322,-5.62464135,3.64064667,-13.61394548,12.58389677,4.12287530
4.47499714,3.71380326,1.95821967,4.31599370,5.89738601,-5.66796110,4.09922984,-13.52890206,12.19810351,4.48005065
4.58543789,3.67715958,2.08669110,4.43600889,5.84940497,-5.69766620,4.60599066,-13.48318652,11.75621907,4.82832298
4.68215796,3.61241566,2.25299415,4.44465155,5.78274825,-5.73516983,5.05777688,-13.38767620,11.29411721,5.11229886
4.81314617,3.52525333,2.46214334,4.50240144,5.71185223,-5.77194020,5.39367710,-13.24940212,10.76752552,5.45381949
4.92800735,3.37634587,2.66708110,4.58955223,5.66109284,-5.86202997,5.81088278,-13.13483229,10.30579185,5.70895730
5.05631454,3.29057425,2.84771994,4.70348560,5.55096739,-5.94217859,6.22274520,-13.03810609,9.74376326,5.96934143
5.16389265,3.21608948,2.97057290,4.75467020,5.46499455,-6.05435097,6.55777918,-12.93589781,9.25057533,6.16046138
5.31098789,3.05278892,3.10280777,4.84452255,5.39935868,-6.17328910,6.84067550,-12.78856261,8.72792952,6.28935900
5.37813306,2.96451522,3.24056595,4.95656506,5.30537093,-6.30343918,7.16414325,-12.64786491,8.16385193,6.42822484
5.52062121,2.88825026,3.35431023,4.97089478,5.16737554,-6.36876149,7.40668650,-12.47763451,7.61403541,6.47498665
5.65825434,2.76109731,3.48422105,4.97759071,5.07220659,-6.54799503,7.58327421,-12.26254127,7.00439465,6.56210582
5.79844116,2.71072699,3.55399206,5.06502554,4.92448640,-6.72518512,7.72286113,-12.04968488,6.41888440,6.64205844
5.95563642,2.63362611,3.65604586,5.07996152,4.83370859,-6.87486384,7.78258399,-11.86060732,5.82619826,6.65690427
6.08739711,2.52539066,3.73027603,5.16146445,4.73113247,-7.04717049,7.88213428,-11.65377299,5.27786738,6.65287923
6.25673187,2.38173143,3.76524023,5.28250924,4.61465994,-7.18479317,7.91346032,-11.42700535,4.72349169,6.66020706
6.43746601,2.27974301,3.79928245,5.42887764,4.48615671,-7.32348751,7.92820131,-11.21152046,4.17329798,6.64208163
6.53495045,2.20450584,3.84043442,5.52444835,4.30892314,-7.46238667,7.94754515,-10.97380343,3.63054267,6.56271422
6.67553328,2.08204375,3.81744580,5.61203305,4.22901925,-7.66056810,7.91801294,-10.75612618,3.08038291,6.50883383
6.79431564,2.00640397,3.77819805,5.61750887,4.11591211,-7.84294940,7.86949259,-10.58048794,2.53435701,6.41766384
6.90927924,1.85994727,3.72381706,5.69340227,4.01647544,-7.99649982,7.80396967,-10.34070439,2.06604437,6.26365029
6.99339622,1.70560926,3.69221969,5.75581024,3.86777355,-8.14017303,7.72990893,-10.14149816,1.62018892,6.12477485
7.06413112,1.61406412,3.62028084,5.86452939,3.73963615,-8.28728169,7.62501244,-9.93706742,1.12507537,5.96616781
7.16978183,1.50570576,3.46977983,5.95687114,3.58796372,-8.41719328,7.46528813,-9.78575154,0.65891373,5.77503684
7.30255985,1.40219776,3.35024214,6.01728489,3.43999022,-8.59592873,7.27055634,-9.62980635,0.21561755,5.56630430
7.36247914,1.26052790,3.24917779,6.09431351,3.27221859,-8.74541515,7.11364192,-9.44704381,-0.26753546,5.35434579
7.51832479,1.14260907,3.14214372,6.19049442,3.14734642,-8.92025937,6.89227938,-9.32896550,-0.69887086,5.13157395
7.63292201,1.06023501,2.97651975,6.28176998,3.05290427,-9.05274696,6.71835465,-9.14790413,-1.10206797,4.87613749
7.68928634,0.95754902,2.78265089,6.36486771,2.92344742,-9.14257879,6.50395252,-8.97225668,-1.46500385,4.58922347
7.75821780,0.78292915,2.61984363,6.42221026,2.74118297,-9.29263872,6.26022550,-8.82523113,-1.84244374,4.33170492
7.88510919,0.65709726,2.41651307,6.49781832,2.59667572,-9.43837196,6.00796660,-8.71766399,-2.21226077,4.00899551
8.02113606,0.55400868,2.22199756,6.51783447,2.41919385,-9.52200259,5.70696421,-8.54063651,-2.56674370,3.71072213
8.11519228,0.41610999,2.02473181,6.63019906,2.20706008,-9.63210610,5.47004011,-8.39095758,-2.91863687,3.46224401
8.26492547,0.36339923,1.82708105,6.67811813,1.97729666,-9.73140705,5.21389244,-8.22310289,-3.22836426,3.16723350
8.37278437,0.24300388,1.59817782,6.76769019,1.81882484,-9.76225539,4.94415012,-8.04293797,-3.48143340,2.91118545
